round,team_name,group_name,group_type,group_code,village,union,union_code,upazila,upazila_code,district,district_code,ward,female_producers_involved,male_producers_involved,female_producers_present,male_producers_present,female_producers_dropout,male_producers_dropout,evaluation_date,facilitator,development_plan,rules_regulation,leadership_process,learning_sharing_space,services,cow_shed_mgmt,feed_mgmt,health_mgmt,breed_dvmt,milk_mgmt,milk_marketing,info_mgmt,gender_equity,total
1.0,Shahjadpur,Doskhinpara-2,1.0,88671208014.0,Kutisathbaria,Beltoil,NA,Shahjadpur,NA,Sirajganj,NA,NA,29.0,1.0,29.0,1.0,0.0,0.0,20/05/2014,"Sheuli, FF",1.0,2.0,3.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,27.0
1.0,Shahjadpur,Batia Paschimpara-1,1.0,88675806021.0,Batia,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,18.0,14.0,18.0,14.0,0.0,0.0,18/05/2014,Baha Uddin,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,32.0
1.0,Shahjadpur,Batia Paschimpara-2,1.0,88675806022.0,Batia,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,19.0,16.0,19.0,16.0,0.0,0.0,18/05/2014,Baha Uddin,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,31.0
1.0,Shahjadpur,Batia Paschimpara-3,1.0,88675806023.0,Batia,Narina,NA,Shahjadpur,NA,Sirajganj,NA,NA,5.0,19.0,5.0,19.0,0.0,0.0,21/05/2014,Baha Uddin,1.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,29.0
1.0,Bhangura,Bhabani Biswashpara,2.0,76193106011.0,Bhabanipur,Bhangura,NA,Bhangura,NA,Pabna,NA,NA,17.0,13.0,14.0,8.0,0.0,0.0,20.05.14,Mamun R,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,18.0
1.0,Bhangura,Bhabanipur Schoolpara,2.0,76193106021.0,Bhabanipur,Bhangura,NA,Bhangura,NA,Pabna,NA,NA,13.0,17.0,9.0,13.0,0.0,0.0,21.05.14,Mamun R,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,19.0
1.0,Bhangura,Parbhangura Da.Mosjidpara,2.0,76197909012.0,Parbhangura,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,33.0,6.0,27.0,1.0,0.0,0.0,15.05.14,Jannatun,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,18.0
1.0,Bhangura,Parbhangura wabdadpara,2.0,76197909013.0,Parbhangura,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,23.0,2.0,18.0,2.0,0.0,0.0,18.05.14,Jannatun,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,17.0
1.0,Bhangura,Parbhangura paschimpara ,2.0,76197909011.0,Parbhangura,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,30.0,1.0,26.0,1.0,0.0,0.0,18.05.14,Jannatun,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,19.0
1.0,Bhangura,Parbhangura Dakhinpara,2.0,76197909015.0,Parbhangura,Parbhangura,NA,Bhangura,NA,Pabna,NA,NA,29.0,6.0,22.0,4.0,0.0,0.0,20.05.14,Jannatun,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,20.0
1.0,Bhangura,Bothor Borosinga,2.0,76221306011.0,Bothor,Bilchalan,NA,Chatmohor,NA,Pabna,NA,NA,33.0,0.0,30.0,0.0,0.0,0.0,14.05.14,Shamim,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,21.0
